"topic" "source" "href"
"1" "blocker" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/blocker.R"
"2" "bones" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/bones.R"
"3" "dyes" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/dyes.R"
"4" "epil" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/epil.R"
"5" "equiv" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/equiv.R"
"6" "leuk" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/leuk.R"
"7" "litters" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/litters.R"
"8" "lsat" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/lsat.R"
"9" "mice" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/mice.R"
"10" "oxford" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/oxford.R"
"11" "pump" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/pump.R"
"12" "rats" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/rats.R"
"13" "salm" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/salm.R"
"14" "seeds" "Classic BUGS Vol 1" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol1/seeds.R"
"15" "air" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/air.R"
"16" "alli" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/alli.R"
"17" "asia" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/asia.R"
"18" "beetles" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/beetles.R"
"19" "biops" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/biops.R"
"20" "birats" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/birats.R"
"21" "cervix" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/cervix.R"
"22" "dugongs" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/dugongs.R"
"23" "eyes" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/eyes.R"
"24" "hearts" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/hearts.R"
"25" "ice" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/ice.R"
"26" "jaw" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/jaw.R"
"27" "orange" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/orange.R"
"28" "pigs" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/pigs.R"
"29" "schools" "Classic BUGS Vol 2" "http://dcr.r-forge.r-project.org/examples/classic-bugs/vol2/schools.R"
"30" "paramecium" "Ecology 90, 356" "http://dcr.r-forge.r-project.org/examples/misc/paramecium.R"
